Price,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage(Km),Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Age
5331,585,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,174043,4,Automatic,Front,Left wheel,White,0,12
3293,891,HYUNDAI,Elantra,Sedan,Yes,Petrol,2.0,0,4,Automatic,Front,Left wheel,Silver,12,9
627,1325,MAZDA,CX-9,Jeep,Yes,Petrol,2.5,14186,4,Automatic,Front,Left wheel,White,12,6
35438,639,HYUNDAI,Santa FE,Jeep,Yes,Petrol,2.0,15000,4,Tiptronic,Front,Left wheel,Brown,12,11
20385,900,CHRYSLER,200,Sedan,No,Petrol,2.4,196800,4,Automatic,Front,Left wheel,Brown,10,10
64290,3965,FORD,Mustang,Coupe,Yes,Petrol,4.7,1142,8,Automatic,Rear,Left wheel,Red,12,60
314,-,MOSKVICH,401,Hatchback,No,Petrol,0.6,150000,4,Manual,Rear,Left wheel,Sky blue,1,72
30,-,HONDA,FIT,Hatchback,No,Petrol,1.5,0,4,Automatic,Front,Right-hand drive,Silver,4,23
38574,-,BMW,M5,Sedan,Yes,Petrol,5.0,70000,10,Tiptronic,Rear,Left wheel,Black,12,19
12717,645,CHEVROLET,Lacetti,Sedan,Yes,Petrol,1.8,121831,4,Automatic,Front,Left wheel,Grey,4,14
5331,1288,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.0,50412,4,Automatic,Front,Left wheel,White,4,18
5175,-,MERCEDES-BENZ,E 240,Sedan,Yes,CNG,2.4,0,4,Automatic,Rear,Right-hand drive,Black,2,27
6398,494,NISSAN,March,Hatchback,Yes,Petrol,1.2,149734,4,Automatic,Front,Left wheel,Silver,4,10
862,2455,LEXUS,GX 470,Jeep,Yes,Petrol,4.7,280354,8,Automatic,4x4,Left wheel,White,0,17
2509,-,DODGE,Intrepid,Sedan,No,Petrol,2.7,215064,6,Automatic,Front,Left wheel,Beige,5,26
1882,442,TOYOTA,Prius,Sedan,Yes,Hybrid,1.8,47672,4,Automatic,Front,Left wheel,White,12,8
251,607,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,39552,4,Automatic,Front,Left wheel,Black,12,6
59586,-,MERCEDES-BENZ,ML 350,Jeep,Yes,Diesel,3.0,0,6,Tiptronic,4x4,Left wheel,Silver,12,13
23521,-,BMW,530,Sedan,Yes,Diesel,3.0,0,6,Tiptronic,Rear,Left wheel,Black,12,16
21326,1054,MERCEDES-BENZ,Vito,Minivan,No,Diesel,2.2,330000,4,Tiptronic,Rear,Left wheel,Beige,6,16
3293,1076,HYUNDAI,Elantra,Sedan,Yes,Petrol,2.0,261,4,Automatic,Front,Left wheel,Black,12,5
1411,629,NISSAN,Juke,Jeep,Yes,Petrol,1.6,87112,4,Automatic,4x4,Left wheel,Black,0,10
7840,-,MAZDA,Verisa 2007,Hatchback,No,Petrol,1.4,180000,4,Automatic,Front,Right-hand drive,White,4,18
45633,765,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.0,59077,4,Automatic,Front,Left wheel,Black,4,10
16935,1051,HYUNDAI,Sonata,Sedan,No,Petrol,2.4,0,4,Automatic,Front,Left wheel,Beige,0,9
4704,-,VAZ,2107,Sedan,No,Petrol,1.5,131000,4,Manual,Rear,Left wheel,White,0,19
10506,1266,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,122000,4,Variator,Front,Right-hand drive,Silver,0,11
9252,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,510853,4,Automatic,Front,Left wheel,Orange,4,10
78,1405,BMW,X5,Jeep,Yes,Diesel,3.0,229854,6,Automatic,4x4,Left wheel,Green,0,16
6272,-,OPEL,Combo,Goods wagon,No,Diesel,1.7,200000,4,Manual,Front,Left wheel,White,2,24
22580,-,MITSUBISHI,Outlander,Jeep,No,Petrol,2.0,106000,4,Tiptronic,Front,Left wheel,Blue,8,13
392,690,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,27038,6,Automatic,4x4,Left wheel,White,12,9
37238,595,HONDA,FIT,Hatchback,Yes,Petrol,1.5,37606,4,Automatic,Front,Left wheel,Black,4,10
392,505,HONDA,Accord,Sedan,Yes,Hybrid,2.0,42078,4,Automatic,Front,Left wheel,White,12,7
3136,-,VOLKSWAGEN,Vento,Sedan,No,Petrol,1.8,245000,4,Automatic,Front,Left wheel,Carnelian red,2,32
14000,-,KIA,Picanto,Sedan,No,Petrol,1.2,46000,4,Manual,Front,Left wheel,Silver,4,8
